pmid,title,authors,citation,first_author,journal_abbrev,year,pubdate,journal,affiliation,doi
40882718,International Magnetic Resonance Imaging Consensus for use in Luminal Crohn's Disease Trials and Clinical Practice.,"Caron B, Jairath V, Sands BE, Rubin DT, Allocca M, Laurent V, Novak K, Panaccione R, Bossuyt P, Bruining DH, Dignass A, Dotan I, Fletcher J, Fumery M, Furfaro F, Halfvarson J, Hart A, Kobayashi T, Cleveland NK, Kucharzik T, Laghi A, Lakatos PL, Leong RW, Loftus EV Jr, Louis E, Magro F, Olivera PA, Shaji S, Siegmund B, Vavricka SR, Danese S, Stoker J, Peyrin-Biroulet L",,Caron B,Clin Gastroenterol Hepatol,2025,2025/09/04,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,,
40882606,"An Educational Curriculum for Residents, Advanced Practice Providers, and Fellows in Cardiac Intensive Care Units.","Carnicelli AP, Senman BC, Miller PE, Dahiya G, Jentzer JC, Ambalavanan MS, Garfinkel AC, Zaas A, Poindexter E, Judge DP, Sinha SS, Berg DD, Elliott AM, Morrow DA, Katz JN",,Carnicelli AP,JACC Adv,2025,2025/09/04,JACC. Advances,,
40882514,Integrating microfluidic automation into thermoplastic devices for analysis of small volumes of blood.,"Amador-Hernandez JU, Gonzalez-Suarez AM, Stybayeva G, Caballero-Robledo GA, Garcia-Cordero JL, Revzin A",,Amador-Hernandez JU,Biosens Bioelectron,2025,2025/09/04,Biosensors & bioelectronics,,
40882500,"Diagnostic screening for epilepsy, functional neurological disorder, and other paroxysmal disorders: A clinical survey study.","Eden D, Karoly PJ, Brinkmann BH, Lundstrom BN, Gregg NM, Nurse ES, Anderson JR, Halamka JD, Freestone DR",,Eden D,Epilepsy Behav,2025,2025/09/04,Epilepsy & behavior : E&B,,
40873294,Conventional versus advanced imaging selection for endovascular treatment of basilar artery occlusion strokes.,"Chen H, Colasurdo M, Matsukawa H, Cunningham C, Maier I, Al Kasab S, Jabbour P, Kim JT, Wolfe SQ, Rai A, Starke RM, Psychogios MN, Samaniego EA, Goyal N, Yoshimura S, Cuellar H, Grossberg JA, Alawieh A, Alaraj A, Ezzeldin M, Romano DG, Tanweer O, Mascitelli J, Fragata I, Polifka A, Siddiqui F, Osbun J, Crosa R, Matouk C, Park MS, Levitt MR, Brinjikji W, Moss M, Dumont T, Daglioglu E, Williamson R Jr, Navia P, Leacy R, Chowdhry S, Altschul DJ, Spiotta AM, Kan P",,Chen H,Eur Stroke J,2025,2025/09/04,European stroke journal,,
40855859,Movement Disorder Following Hypoglycemic Encephalopathy in Mitochondrial 3-Hydroxy-3-methylglutaryl-CoA Synthase-2 (mHS) Deficiency.,"Osundiji MA, Chen A, Farris JD, Dhamija R",,Osundiji MA,Ann Intern Med Clin Cases,2025,2025/09/04,Annals of internal medicine. Clinical cases,,
40882232,Randomized controlled trials comparing cervical disc arthroplasty and anterior cervical discectomy and fusion outcomes in degenerative spine disease: a systematic review and meta-analysis.,"Yakdan S, Benedict B, Botterbush K, Lagisetty A, Kaleem MI, Alessio R, Hardi A, Javeed S, Ruiz-Cardozo MA, Yahanda AT, Wang J, Bydon M, Ray WZ, Greenberg JK",,Yakdan S,J Neurosurg Spine,2025,2025/09/04,Journal of neurosurgery. Spine,,
40880781,Ultrafast photophysics of a positive reversibly switchable fluorescent protein.,"Fatima A, He Y, Iuliano JN, Greetham GM, Malakar P, Hall C, Woroniecka HA, Richardson BC, French JB, Lukacs A, Tonge PJ, Meech SR",,Fatima A,Chem Sci,2025,2025/09/04,Chemical science,,
40880062,Patient-specific biomechanical modeling of intraoperative scoliosis correction on the 2-year outcomes for thoracolumbar/lumbar vertebral body tethering.,"Gay M, Cobetto N, Caouette C, Larson AN, Villemure I, Hoernschemeyer D, Boeyer M, El-Hawary R, Alanay A, Aubin CE",,Gay M,Spine Deform,2025,2025/09/04,Spine deformity,,
40879697,Real-World Outcomes of Transplant Ineligible Older Adults With Multiple Myeloma Treated With Novel Regimens: A Population-Based Retrospective Cohort Study.,"Abdallah N, Mian H, Seow H, Pond GP, Gayowsky A, Visram A, Costa LJ, Wildes TM, Fonseca R, Pawlyn C, Cook G, Kumar S, Chakraborty R",,Abdallah N,Am J Hematol,2025,2025/09/04,American journal of hematology,,
40879174,Pseudobulbar affect or dacrystic seizures? Clarifying the confusion.,"Ortiz-Guerrero G, So E, Britton JW",,Ortiz-Guerrero G,Epileptic Disord,2025,2025/09/04,Epileptic disorders : international epilepsy journal with videotape,,
40878717,Tricuspid valve replacement outcomes by baseline tricuspid regurgitation severity: the TRISCEND II trial.,"Lurz P, Hahn RT, Kodali S, Makkar R, Sharma RP, Davidson CJ, O'Neill BP, Yadav P, Zahr F, Chadderdon S, Eleid MF, Szerlip M, Smith R, Whisenant B, Garcia S, Kister T, Kipperman RM, Lim S, Saxon J, Kapadia S, Hermiller J, Mishell JM, Rassi A, Herrmann HC, Szeto W, Hausleiter J, Babaliaros V, Barker CM, Lindman BR, Latib A, Muhammad K, von Bardeleben RS, Summers M, Chetcuti S, Ailawadi G, Russo M, Rinaldi M, Chehab BM, Nickenig G, Stinis C, Inglessis-Azuaje I, Dhoble A, Chhatriwalla AK, Petrossian G, Shah P, Staniloae C, Williams M, Nores M, McCabe JM, Singh G, Baldus S, Rudolph V, Barb I, Klodell C, Gray W, Strote J, Sannino A, Grayburn P, Mack MJ, Leon MB, Thourani VH",,Lurz P,Eur Heart J,2025,2025/09/04,European heart journal,,
40876906,Global consensus statement on the management of pregnancy in inflammatory bowel disease.,"Mahadevan U, Seow CH, Barnes EL, Chaparro M, Flanagan E, Friedman S, Julsgaard M, Kane S, Ng S, Torres J, Watermeyer G, Yamamoto-Furusho J, Robinson C, Fisher S, Anderson P, Gearry R, Duricova D, Dubinsky M, Long M, Global Consensus Group for Pregnancy in IBD",,Mahadevan U,Gut,2025,2025/09/04,Gut,,
40866837,It's time to talk to emergency medical dispatchers: survey study on performance feedback and patient outcome follow-up to EMDs.,"Wanberg EJ, Scott G, Dostal KM, Mullan AF, McGuire SS",,Wanberg EJ,BMC Emerg Med,2025,2025/09/04,BMC emergency medicine,,
40864472,Inpatient and Outpatient Radiology Report Access After the 21st Century Cures Act.,"Pollock JR, Tariq A, Schmitz JJ, Varner J, Sharma U, Metcalfe AM, Tan N",,Pollock JR,JAMA Netw Open,2025,2025/09/04,JAMA network open,,
40864465,Low Measles Seropositivity in Vaccinated Children.,"Quach HQ, Jones SP, Joseph I, Powell AJ, Ovsyannikova IG, Warner ND, Grill DE, Johnson JB, Sasi RV, Ajithakumari AM, Prasad R, Reveendran R, Devakikutty J, Mohanakumari VV, Poland GA, Pillai MR, Jacob J, Kennedy RB",,Quach HQ,JAMA Netw Open,2025,2025/09/04,JAMA network open,,
40864454,Prevalence of Hidradenitis Suppurativa: A Meta-Analysis of Global Hidradenitis Suppurativa Atlas Studies.,"Bouazzi D, Nielsen SM, Hagan PG, Botvid S, Hove LS, Prens EP, Christensen R, Jemec GBE, GHiSA Group, Knecht-Gurwin K, Szepietowski JC, Anaba EL, Chehad AS, Zobiri S, Serradj A, Bhuiyan MSI, Noor T, Guillem P, Parvizi MM, Saki N, Alpsoy E, Vardar C, Kanni T, Giamarellos-Bourboulis EJ, Frew JW, Al Maharbi WHA, van Huijstee JC, Aarts P, Dewi ST, Febriana SA, Indrastuti N, Suryawati N, Pangastuti M, Adji A, Akhyar G, Nopriyati N, Hazlianda CP, Reyes-Baraona F, Matas C, Saeed H, Moodley A, Binamer Y, Kamil MAA, Jocic I, Mijuskovic Z, Mallawaarachchi K, Gangani C, Tusheva I, Boshkovski VB, Hu D, Geng S, Medianfar CE, Saunte DML, Chandran NS, van der Zee HH, Zouboulis CC, Benhadou F, Villumsen B, Alavi A, Ibekwe PU, Hamzavi IH, Ingram JR, Naik HB, Garg A, Boer J",,Bouazzi D,JAMA Dermatol,2025,2025/09/04,JAMA dermatology,,
40861161,Triple-mode point-of-care diagnostics for high-risk human papillomavirus in urine.,"Thai DA, Liu J, Gutierrez Ruiz A, Zhang Y, Walther-Antonio M, Liu Y",,Thai DA,Biosens Bioelectron X,2025,2025/09/04,Biosensors & bioelectronics: X,,
40861018,3D Bioprinted Chondrogenic Gelatin Methacrylate-Poly(ethylene glycol) Diacrylate Composite Scaffolds for Intervertebral Disc Restoration.,"Astudillo Potes MD, Tilton M, Mitra I, Liu X, Dashtdar B, Camilleri ET, Elder BD, Lu L",,Astudillo Potes MD,Int J Extrem Manuf,2025,2025/09/04,International journal of extreme manufacturing,,
40876050,Nurse-Led Virtual Anticoagulation Program Improves Quality and Reduces Cost.,"Negley K, Foster G, Mattson A, O'Connor C, Timm J",,Negley K,Nurs Adm Q,2025,2025/09/04,Nursing administration quarterly,,
40876002,"International, Multispecialty Expert Consensus on Nomenclature for Facial Paralysis.","Oyer SL, Baptista R, Boahene K, Borschel GH, Byrne P, Chuang DC, Dey JK, Diels J, Guerreschi P, Gur E, Hadlock T, Hetzler L, Kim J, Klebuc M, Labbé D, Lassaletta L, Loyo M, Mardini S, Miller MQ, Pepper JP, Rozen S, Snyder-Warwick A, Stephan S, Tzafetta K, Azizzadeh B",,Oyer SL,Facial Plast Surg Aesthet Med,2025,2025/09/04,Facial plastic surgery & aesthetic medicine,,
40875887,Safety and Efficacy of BCMA directed Chimeric Antigen Receptor T-Cell Therapy for the Treatment of Plasma Cell Leukemia.,"Galarza Fortuna GM, Peres LC, Nazarenko E, De Menezes Silva Corraes A, Hovanky V, Shune L, McGuirk JP, de Avila G, Khouri J, Dima D, Gaballa MR, Dhakal B, Forsberg PA, Godara A, Afrough A, Anderson LD Jr, Herr MM, Davis JA, Mann H, Purvey S, Clark WB, Htut MM, Beitinjaneh AM, Pereira DL, Kocoglu M, Ferreri CJ, Atrash S, Voorhees PM, Rossi AC, Richard S, Hashmi H, Patel KK, Sidana S, Lin Y, Hansen DK, Sborov DW",,Galarza Fortuna GM,Blood Adv,2025,2025/09/04,Blood advances,,
40875595,Beyond Platelet Counts: Assessing Safety of Post-Splenectomy TPO-RA Use in ITP.,"Alyamany R, Houghton DE, Sridharan M, Pruthi RK, Shah S, Godby RC, Wolanskyj-Spinner AP, Go RS",,Alyamany R,Blood Adv,2025,2025/09/04,Blood advances,,
40875593,"Cardiovascular Degeneration in Erdheim-Chester Disease: Prevalence, Burden, and Outcomes.","Tawfiq RK, Spears GM, Young JR, Mahowald M, Tobin WO, Patgunarajah U, Ruan GJ, Yi D, Zanwar S, Rech KL, Koster MJ, Acosta-Medina AA, Gruber LM, Ravindran A, Shah MV, Bennani NN, Alhaj Moustafa M, Hilal T, Sartori-Valinotti JC, Vassallo R, Ryu J, Davidge-Pitts C, Dasari S, Witzig TE, Go RS, Goyal G, Abeykoon JP",,Tawfiq RK,Blood Adv,2025,2025/09/04,Blood advances,,
40875581,The Importance of Geriatric Emergency Department Assessments: Recognizing Patient Risks and Value of Data in Research-A Reply.,"Hwang U, Cohen I, Carpenter C, Han L, Hung W",,Hwang U,Acad Emerg Med,2025,2025/09/04,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,,
40875358,Role of Long Chain Acyl-CoA Synthetases in MASH-driven Hepatocellular Carcinoma and Ferroptosis.,"Classon P, Wixom AQ, Calixto Mancipe N, Graham RP, Zhao Y, Tran N, Taner T, Povero D",,Classon P,Am J Physiol Gastrointest Liver Physiol,2025,2025/09/04,American journal of physiology. Gastrointestinal and liver physiology,,
